Scala Farbton;C;M;Y;K;HBW;RAL
42.15.18;25;60;5;0;34,1;
42.15.21;20;60;0;20;22,4;
42.15.24;50;80;25;15;14,2;
42.15.27;35;70;0;60;9,5;
42.15.30;50;80;0;80;5,8;
42.18.15;10;50;0;0;44,1;
42.18.18;20;60;0;0;33,4;
42.18.21;35;80;0;0;22,7;
42.18.24;45;90;0;15;14,8;
42.18.27;25;90;0;50;10,0;
42.21.12;10;30;0;0;56,2;
42.21.15;20;40;0;0;45,5;
42.21.18;35;60;5;0;31,8;
42.21.21;40;70;0;5;23,2;
42.21.24;35;80;0;30;14,3;RAL 4008
42.21.27;60;90;15;30;9,9;
42.ME.01;25;20;30;35;~ 25;DB 701
45.06.03;0;0;5;0;84,2;
45.06.06;0;0;5;10;77,5;
45.06.09;5;5;5;15;65,8;
45.06.12;20;20;15;10;52,5;
45.06.15;25;20;20;15;46,9;
45.06.18;25;25;20;40;31,6;
45.06.21;35;35;30;45;23,4;
45.06.24;15;25;10;70;15,2;
45.06.27;50;45;35;70;9,9;
45.06.30;45;40;5;90;6,2;
45.09.06;5;5;5;0;83,5;
45.09.09;15;15;10;0;65,8;
45.09.12;15;20;10;5;56,0;
45.09.15;25;30;10;5;47,4;
45.09.18;35;40;20;5;35,3;
45.09.21;35;40;15;35;23,7;
45.09.24;70;70;40;10;14,8;
45.09.27;70;70;35;50;9,4;
45.09.30;60;70;5;70;6,6;
45.12.06;5;5;0;5;74,6;
45.12.09;5;10;0;5;69,4;
45.12.12;15;20;0;10;57,8;
45.12.15;25;30;0;10;46,0;
45.12.18;20;25;0;35;33,4;
45.12.21;35;45;0;30;22,8;
45.12.24;50;60;15;25;16,1;
45.12.27;80;90;40;15;9,5;
